Nuts,Observation_Value
IE052,"23,68,378"
IE041,"17,95,345"
IE051,"41,31,988"
IE053,"1,91,90,719"
IE041,"33,82,699"
IE061,"9,01,46,137"
IE042,"91,51,614"
IE053,"40,75,916"
IE062,"72,29,864"
IE052,"27,33,990"
IE063,"24,93,772"
IE041,"6,63,731"
IE051,"69,95,121"
IE063,"10,79,666"
IE062,"41,97,800"
IE042,"29,01,195"
IE062,"54,95,755"
IE041,"11,61,803"
IE063,"13,16,423"
IE042,"13,35,918"
IE041,"20,58,122"
IE051,"38,59,357"
IE052,"40,29,570"
IE063,"20,96,788"
IE052,"41,39,348"
IE062,"37,05,032"
